"GenBank_ID","Country","State","City","Serotype","Date","Decimal_Date","Sequence_name"
"GU131941.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131941.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131942.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131942.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131943.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131943.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131944.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131944.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131945.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131945.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131946.1","Cambodia","KCH","NA","Dengue_3","2008-06-15","2008.45205479452","GU131946.1|Cambodia|KCH|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU189648.1","China","Zhejiang","NA","Dengue_3","2009-06-15","2009.45205479452","GU189648.1|China|Zhejiang|NA|Dengue_3|2009-06-15|2009.45205479452"
"GQ340963.1","India","NA","NA","Dengue_3","2008-11-28","2008.90684931507","GQ340963.1|India|NA|NA|Dengue_3|2008-11-28|2008.90684931507"
"GQ340964.1","India","NA","NA","Dengue_3","2008-12-02","2008.91780821918","GQ340964.1|India|NA|NA|Dengue_3|2008-12-02|2008.91780821918"
"GQ340965.1","India","NA","NA","Dengue_3","2008-11-30","2008.91232876712","GQ340965.1|India|NA|NA|Dengue_3|2008-11-30|2008.91232876712"
"GQ340966.1","India","NA","NA","Dengue_3","2008-12-06","2008.92876712329","GQ340966.1|India|NA|NA|Dengue_3|2008-12-06|2008.92876712329"
"GQ340967.1","India","NA","NA","Dengue_3","2008-11-28","2008.90684931507","GQ340967.1|India|NA|NA|Dengue_3|2008-11-28|2008.90684931507"
"GQ340968.1","India","NA","NA","Dengue_3","2008-12-06","2008.92876712329","GQ340968.1|India|NA|NA|Dengue_3|2008-12-06|2008.92876712329"
"GQ357831.1","Singapore","NA","NA","Dengue_3","2006-06-15","2006.45205479452","GQ357831.1|Singapore|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"GQ357832.1","Singapore","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GQ357832.1|Singapore|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GQ357833.1","Singapore","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GQ357833.1|Singapore|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GQ357834.1","Singapore","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GQ357834.1|Singapore|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GQ357835.1","Singapore","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GQ357835.1|Singapore|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GQ357836.1","Singapore","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GQ357836.1|Singapore|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GQ357837.1","Singapore","NA","NA","Dengue_3","2005-06-15","2005.45205479452","GQ357837.1|Singapore|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"GQ357838.1","Singapore","NA","NA","Dengue_3","2006-06-15","2006.45205479452","GQ357838.1|Singapore|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"GQ357839.1","Singapore","NA","NA","Dengue_3","2006-06-15","2006.45205479452","GQ357839.1|Singapore|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"GQ357840.1","Singapore","NA","NA","Dengue_3","2007-06-15","2007.45205479452","GQ357840.1|Singapore|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"GQ357841.1","Singapore","NA","NA","Dengue_3","2007-06-15","2007.45205479452","GQ357841.1|Singapore|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"GQ357842.1","Singapore","NA","NA","Dengue_3","2007-06-15","2007.45205479452","GQ357842.1|Singapore|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"GQ357843.1","Singapore","NA","NA","Dengue_3","2005-06-15","2005.45205479452","GQ357843.1|Singapore|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
